timestamp,cpu_percent,process_cpu_percent,memory_rss_mb
1779978400.1929612,0.0,0.0,80.90234375
1779978401.1934896,0.8,0.0,80.90234375
1779978402.1939683,1.6,0.0,80.90234375
1779978403.19465,1.6,0.0,80.90234375
1779978404.1955116,0.8,0.0,80.90234375
1779978405.1962583,0.6,1.0,80.90234375
1779978406.1971052,1.7,2.0,85.40234375
1779978407.1992228,0.5,0.0,85.77734375
1779978408.2000134,1.9,0.0,85.77734375
1779978409.2008488,0.2,0.0,85.77734375
1779978410.2018125,0.9,0.0,85.77734375
1779978411.2025774,0.5,0.0,85.77734375
1779978412.2037342,8.0,2.0,90.27734375
1779978413.2053027,0.5,1.0,90.27734375
1779978414.2067897,0.9,0.0,90.27734375
1779978415.2079175,0.5,1.0,90.40234375
1779978416.209017,1.2,1.0,90.40234375
1779978417.2101572,0.4,0.0,90.40234375
1779978418.2110496,1.2,0.0,90.40234375
1779978419.2123375,0.3,0.0,90.40234375
1779978420.212909,0.7,0.0,90.40234375
1779978421.214035,1.3,0.0,90.40234375
1779978422.2151365,0.2,0.0,90.40234375
1779978423.216203,0.8,0.0,90.40234375
1779978424.2171414,0.3,0.0,90.40234375
1779978425.218252,1.7,1.0,90.40234375
1779978426.1569853,1.7,0.0,90.40234375
1779978427.1573527,2.3,0.0,90.40234375
1779978428.1577601,0.2,0.0,90.40234375
1779978429.1581745,0.8,0.0,90.40234375
1779978430.1586564,0.3,0.0,90.40234375
1779978431.1592238,0.9,1.0,90.40234375
1779978432.1600275,0.2,0.0,90.40234375
1779978433.1608355,1.4,0.0,90.40234375
1779978434.1617653,0.1,0.0,90.40234375
1779978435.1624138,1.2,0.0,90.40234375
1779978436.1628058,0.3,0.0,90.40234375
1779978437.1633499,0.8,0.0,90.40234375
1779978438.1640174,0.9,0.0,90.40234375
1779978439.164787,1.6,0.0,90.40234375
1779978440.1657636,0.2,0.0,90.40234375
1779978441.1668637,1.2,0.0,90.40234375
1779978442.1675935,0.5,0.0,90.40234375
1779978443.1686206,1.9,1.0,90.40234375
1779978444.1696405,0.8,0.0,90.40234375
1779978445.1704473,0.7,1.0,90.40234375
1779978446.171434,0.8,0.0,90.40234375
1779978447.1720533,0.4,0.0,90.40234375
1779978448.1728492,1.9,0.0,90.40234375
1779978449.1734974,1.2,0.0,90.40234375
1779978450.17474,1.4,0.0,90.40234375
1779978451.176373,0.4,0.0,90.40234375
1779978452.1771743,1.1,1.0,90.40234375
1779978453.1778648,0.7,0.0,90.40234375
1779978454.1785038,2.8,0.0,90.40234375
1779978455.179187,3.5,0.0,90.40234375
1779978456.1230721,12.2,0.0,90.40234375
1779978457.1236813,20.2,0.0,90.40234375
1779978458.1242518,10.9,0.0,90.40234375
1779978459.1247973,20.1,0.0,90.40234375
1779978460.125448,26.2,1.0,90.40234375
1779978461.126079,22.5,0.0,90.40234375
1779978462.1267238,23.7,0.0,90.40234375
1779978463.127446,29.9,0.0,90.40234375
1779978464.1281402,19.7,0.0,90.40234375
1779978465.1286037,26.0,0.0,90.40234375
1779978466.128996,15.3,0.0,90.40234375
1779978467.1294851,9.1,0.0,90.40234375
1779978468.1305697,1.0,1.0,90.40234375
1779978469.1313443,1.8,0.0,90.40234375
1779978470.1323402,0.2,0.0,90.40234375
1779978471.1331687,1.5,0.0,90.40234375
1779978472.1340363,0.9,0.0,90.40234375
1779978473.134623,2.3,0.0,90.40234375
1779978474.1354616,2.5,1.0,90.40234375
1779978475.136202,1.8,0.0,90.40234375
1779978476.137629,0.4,0.0,90.40234375
1779978477.1382961,2.2,0.0,90.40234375
1779978478.139226,2.8,0.0,90.40234375
1779978479.1401775,0.7,0.0,90.40234375
1779978480.1408148,8.9,1.0,90.40234375
1779978481.1413827,12.3,0.0,90.40234375
1779978482.14222,24.6,0.0,90.40234375
1779978483.1430647,21.3,0.0,90.40234375
1779978484.1440227,19.8,0.0,90.40234375
1779978485.1451604,23.3,0.0,90.40234375
1779978486.0857215,28.3,0.0,90.40234375
1779978487.0864956,26.3,0.0,90.40234375
1779978488.0871308,23.4,0.0,90.40234375
1779978489.0875223,12.4,0.0,90.40234375
1779978490.0881433,19.8,0.0,90.40234375
1779978491.0885832,24.8,0.0,90.40234375
1779978492.089231,25.1,0.0,90.40234375
1779978493.0901718,21.0,0.0,90.40234375
1779978494.0913951,33.1,0.0,90.40234375
1779978495.0921917,43.0,0.0,90.40234375
1779978496.09281,35.8,0.0,90.40234375
1779978497.093573,32.5,1.0,90.40234375
1779978498.0941255,30.2,0.0,90.40234375
1779978499.0945582,43.6,0.0,90.40234375
1779978500.095292,21.5,0.0,90.40234375
1779978501.0958755,10.8,0.0,90.40234375
1779978502.0964026,16.0,0.0,90.40234375
1779978503.0972126,53.7,1.0,90.40234375
1779978504.0978432,38.0,0.0,90.40234375
1779978505.099013,41.5,0.0,90.40234375
1779978506.099788,38.7,0.0,90.40234375
1779978507.1003754,31.2,1.0,90.40234375
1779978508.1009953,23.1,0.0,90.40234375
1779978509.1022644,25.9,0.0,90.40234375
1779978510.1029232,6.5,0.0,90.40234375
1779978511.1039877,4.5,0.0,90.40234375
1779978512.1044068,6.0,0.0,90.40234375
1779978513.1057322,5.8,0.0,90.40234375
1779978514.1071784,5.1,0.0,90.40234375
1779978515.107945,2.1,0.0,90.40234375
1779978516.051415,2.3,0.0,90.40234375
1779978517.0521824,2.3,0.0,90.40234375
1779978518.052862,0.8,0.0,90.40234375
1779978519.0533547,0.7,0.0,90.40234375
1779978520.054219,1.2,0.0,90.40234375
1779978521.054842,0.3,0.0,90.40234375
1779978522.0553172,2.7,0.0,90.40234375
1779978523.0558531,2.4,1.0,90.40234375
1779978524.0570693,1.7,0.0,90.40234375
1779978525.0587282,1.3,0.0,90.40234375
1779978526.0596166,0.8,0.0,90.40234375
1779978527.060599,4.2,0.0,90.40234375
1779978528.0612602,3.3,0.0,90.40234375
1779978529.061969,1.3,0.0,90.40234375
1779978530.0625877,0.8,0.0,90.40234375
1779978531.0641265,0.8,0.0,90.40234375
1779978532.0668287,1.0,1.0,90.40234375
1779978533.069452,1.3,0.0,90.40234375
1779978534.0705054,2.1,0.0,90.40234375
1779978535.0711637,1.2,0.0,90.40234375
1779978536.0730875,4.3,0.0,90.40234375
1779978537.0736027,10.8,0.0,90.40234375
1779978538.074322,39.5,0.0,90.40234375
1779978539.0751183,32.5,0.0,90.40234375
1779978540.0755694,18.8,0.0,90.40234375
1779978541.0760717,3.9,0.0,90.40234375
1779978542.076416,0.9,0.0,90.40234375
1779978543.0771763,1.0,0.0,90.40234375
1779978544.0781853,0.6,0.0,90.40234375
1779978545.0791972,1.6,0.0,90.40234375
1779978546.0191312,0.4,0.0,90.40234375
1779978547.0199504,1.8,0.0,90.40234375
1779978548.02091,0.3,0.0,90.40234375
1779978549.0213966,1.5,0.0,90.40234375
1779978550.022136,0.3,1.0,90.40234375
1779978551.0229683,1.9,1.0,90.40234375
1779978552.0239792,6.0,0.0,90.40234375
1779978553.024925,0.8,0.0,90.40234375
1779978554.0256562,13.8,0.0,90.40234375
1779978555.0263834,1.1,0.0,90.40234375
1779978556.0273135,10.0,0.0,90.40234375
1779978557.0293257,2.5,0.0,90.40234375
1779978558.0311098,1.9,0.0,90.40234375
1779978559.0325985,1.4,1.0,90.40234375
1779978560.0341408,1.6,0.0,90.40234375
1779978561.034786,3.2,0.0,90.40234375
1779978562.035703,11.9,0.0,90.40234375
1779978563.0365133,2.7,0.0,90.40234375
1779978564.037412,3.7,0.0,90.40234375
1779978565.0383472,28.0,0.0,90.40234375
1779978566.0391104,1.6,0.0,90.40234375
1779978567.0419962,1.9,0.0,90.40234375
1779978568.0429435,7.9,0.0,90.40234375
1779978569.0441573,2.2,0.0,90.40234375
1779978570.04464,3.0,1.0,90.40234375
1779978571.0456462,1.9,0.0,90.40234375
1779978572.0464923,2.2,0.0,90.40234375
1779978573.047297,1.7,0.0,90.40234375
1779978574.0477111,2.2,0.0,90.40234375
1779978575.0482216,0.8,0.0,90.40234375
1779978575.9880078,1.4,0.0,90.40234375
1779978576.9884417,0.8,0.0,90.40234375
1779978577.989001,3.0,0.0,90.40234375
1779978578.9903874,10.8,0.0,90.40234375
1779978579.991174,7.2,0.0,90.40234375
1779978580.9918592,1.8,1.0,90.40234375
1779978581.9924912,1.2,0.0,90.40234375
1779978582.9932163,1.8,1.0,90.40234375
1779978583.9941232,2.0,0.0,90.40234375
1779978584.9951766,0.7,0.0,90.40234375
1779978585.9960907,1.4,0.0,90.40234375
1779978586.9970207,3.7,0.0,90.40234375
1779978587.9974937,1.9,0.0,90.40234375
1779978588.9980404,2.2,1.0,90.40234375
1779978589.9987993,1.8,0.0,90.40234375
1779978591.0002747,1.2,0.0,90.40234375
1779978592.0017571,0.8,0.0,90.40234375
1779978593.0033047,2.0,0.0,90.40234375
1779978594.0043988,0.8,0.0,90.40234375
1779978595.0053012,2.6,0.0,90.40234375
1779978596.0061202,0.4,0.0,90.40234375
1779978597.00695,1.6,0.0,90.40234375
1779978598.0077384,0.0,0.0,90.40234375
1779978599.0086894,1.4,0.0,90.40234375
1779978600.0097427,0.8,0.0,90.40234375
1779978601.0102754,1.8,0.0,90.40234375
1779978602.0112836,1.3,1.0,90.40234375
1779978603.0122657,0.9,0.0,90.40234375
1779978604.0159235,0.7,0.0,90.40234375
1779978605.0166526,3.5,0.0,90.40234375
1779978605.9557476,1.6,0.0,90.40234375
1779978606.956388,1.5,0.0,90.40234375
1779978607.9569557,0.5,0.0,90.40234375
1779978608.9575064,0.9,0.0,90.40234375
1779978609.957951,1.6,0.0,90.40234375
1779978610.9585376,1.3,0.0,90.40234375
1779978611.95916,0.7,0.0,90.40234375
1779978612.9597683,1.1,0.0,90.40234375
1779978613.9607377,4.0,1.0,90.40234375
1779978614.9614635,1.3,0.0,90.40234375
1779978615.9624417,2.2,0.0,90.40234375
1779978616.9636002,0.8,0.0,90.40234375
1779978617.9641104,1.5,0.0,90.40234375
1779978618.9660387,0.7,0.0,90.40234375
1779978619.9666002,2.2,0.0,90.40234375
1779978620.9669626,1.7,0.0,90.40234375
1779978621.9675446,19.7,0.0,90.40234375
1779978622.9682777,1.6,0.0,90.40234375
1779978623.9702346,1.3,1.0,90.40234375
1779978624.9708457,0.7,0.0,90.40234375
1779978625.9717214,0.8,0.0,90.40234375
1779978626.9743106,1.1,0.0,90.40234375
1779978627.978995,0.9,0.0,90.40234375
1779978628.9795213,2.1,0.0,90.40234375
1779978629.9803452,3.6,0.0,90.40234375
1779978630.981978,2.3,0.0,90.40234375
1779978631.9837177,0.6,0.0,90.40234375
1779978632.9849463,1.2,0.0,90.40234375
1779978633.9863114,1.2,0.0,90.40234375
1779978634.9870343,1.4,1.0,90.40234375
1779978635.9266706,2.6,0.0,90.40234375
1779978636.9269967,1.7,0.0,90.40234375
1779978637.9273407,3.8,1.0,90.40234375
1779978638.9276574,0.5,0.0,90.40234375
1779978639.9281168,0.3,0.0,90.40234375
1779978640.928825,2.3,1.0,90.40234375
1779978641.929364,1.2,0.0,90.40234375
1779978642.9300268,3.8,0.0,90.40234375
1779978643.9307692,2.0,0.0,90.40234375
1779978644.9314814,2.2,0.0,90.40234375
1779978645.931911,2.1,0.0,90.40234375
1779978646.9332757,1.9,0.0,90.40234375
1779978647.9340706,1.3,1.0,90.40234375
1779978648.934503,3.2,0.0,90.40234375
1779978649.9352689,0.5,1.0,90.40234375
1779978650.9380643,1.1,0.0,90.40234375
1779978651.9390373,0.8,0.0,90.40234375
1779978652.9397748,0.8,0.0,90.40234375
1779978653.9409714,1.0,0.0,90.40234375
1779978654.9419694,0.8,0.0,90.40234375
1779978655.942974,0.9,0.0,90.40234375
1779978656.9446862,0.7,0.0,90.40234375
1779978657.9458826,0.8,0.0,90.40234375
1779978658.9478242,1.0,0.0,90.40234375
1779978659.9497344,0.8,0.0,90.40234375
1779978660.9515321,1.1,0.0,90.40234375
1779978661.9527194,0.6,0.0,90.40234375
1779978662.9541128,1.0,0.0,90.40234375
1779978663.9552724,1.7,0.0,90.40234375
1779978664.9563196,0.6,0.0,90.40234375
1779978665.8973649,0.7,1.0,90.40234375
1779978666.8979893,0.6,0.0,90.40234375
1779978667.89894,1.2,0.0,90.40234375
1779978668.9007628,0.8,0.0,90.40234375
1779978669.9011612,0.7,0.0,90.40234375
1779978670.9015312,0.6,0.0,90.40234375
1779978671.9017973,0.8,0.0,90.40234375
1779978672.902311,0.3,0.0,90.40234375
1779978673.9030807,3.0,0.0,90.40234375
1779978674.9038806,0.2,0.0,90.40234375
1779978675.9053113,1.3,0.0,90.40234375
1779978676.9066184,0.3,0.0,90.40234375
1779978677.9071853,1.5,1.0,90.40234375
1779978678.9078777,0.7,0.0,90.40234375
1779978679.9088588,1.2,0.0,90.40234375
1779978680.9107955,0.8,0.0,90.40234375
1779978681.9114497,1.0,1.0,90.40234375
1779978682.9131932,1.1,0.0,90.40234375
1779978683.9146101,2.5,0.0,90.40234375
1779978684.9162867,0.8,0.0,90.40234375
1779978685.9179454,0.9,0.0,90.40234375
1779978686.918865,0.8,0.0,90.40234375
1779978687.9202757,1.3,1.0,90.40234375
1779978688.9216952,1.3,0.0,90.40234375
1779978689.9228237,1.3,0.0,90.40234375
1779978690.923507,0.7,0.0,90.40234375
1779978691.9248428,1.0,0.0,90.40234375
1779978692.926378,1.0,0.0,90.40234375
1779978693.9276288,1.3,0.0,90.40234375
1779978694.928682,0.8,0.0,90.40234375
1779978695.8688376,2.0,1.0,90.40234375
1779978696.869365,0.8,0.0,90.40234375
1779978697.870043,0.9,0.0,90.40234375
1779978698.8708227,1.2,0.0,90.40234375
1779978699.8713243,0.2,0.0,90.40234375
1779978700.8719382,1.3,0.0,90.40234375
1779978701.872415,0.5,0.0,90.40234375
1779978702.8729782,2.4,0.0,90.40234375
1779978703.8736258,0.3,0.0,90.40234375
1779978704.8744156,1.6,0.0,90.40234375
1779978705.8756819,0.4,0.0,90.40234375
1779978706.876529,1.3,0.0,90.40234375
1779978707.8777728,0.1,1.0,90.40234375
1779978708.878554,1.2,0.0,90.40234375
1779978709.8794289,0.4,0.0,90.40234375
1779978710.8807683,1.2,0.0,90.40234375
1779978711.8820806,0.7,0.0,90.40234375
1779978712.8833003,0.6,0.0,90.40234375
1779978713.8847473,0.7,0.0,90.40234375
1779978714.8859375,0.8,0.0,90.40234375
1779978715.8872802,0.8,0.0,90.40234375
1779978716.8890996,0.7,0.0,90.40234375
1779978717.8896878,0.4,0.0,90.40234375
1779978718.8903408,0.8,0.0,90.40234375
1779978719.8911347,0.7,0.0,90.40234375
1779978720.8922527,1.3,1.0,90.40234375
1779978721.8936973,1.8,1.0,90.40234375
1779978722.8945324,1.3,0.0,90.40234375
1779978723.8956704,1.5,0.0,90.40234375
1779978724.8962986,0.7,0.0,90.40234375
1779978725.8382862,0.8,0.0,90.40234375
1779978726.8403318,1.2,0.0,90.40234375
1779978727.840677,0.8,0.0,90.40234375
1779978728.841696,0.7,0.0,90.40234375
1779978729.842558,1.2,0.0,90.40234375
1779978730.8436592,0.3,0.0,90.40234375
1779978731.844439,1.5,0.0,90.40234375
1779978732.8451068,0.8,0.0,90.40234375
1779978733.845829,2.8,0.0,90.40234375
1779978734.8466153,0.2,0.0,90.40234375
1779978735.8475645,2.2,0.0,90.40234375
1779978736.8488615,0.3,1.0,90.40234375
1779978737.8494902,1.4,0.0,90.40234375
1779978738.8502808,0.3,0.0,90.40234375
1779978739.851131,0.7,0.0,90.40234375
1779978740.8524096,1.0,0.0,90.40234375
1779978741.854103,1.1,0.0,90.40234375
1779978742.8552432,1.0,0.0,90.40234375
1779978743.8566785,0.7,0.0,90.40234375
1779978744.8574533,0.7,0.0,90.40234375
1779978745.8588934,0.8,0.0,90.40234375
1779978746.860597,1.2,1.0,90.40234375
1779978747.8620923,1.3,0.0,90.40234375
1779978748.8635092,1.1,0.0,90.40234375
1779978749.864885,1.3,0.0,90.40234375
1779978750.8666747,1.0,0.0,90.40234375
1779978751.8677404,0.6,0.0,90.40234375
1779978752.8693752,0.9,0.0,90.40234375
1779978753.8701663,1.9,0.0,90.40234375
1779978754.8708355,2.1,0.0,90.40234375
1779978755.811244,1.1,0.0,90.40234375
1779978756.8120346,1.7,0.0,90.40234375
1779978757.812635,0.5,0.0,90.40234375
1779978758.813176,1.3,0.0,90.40234375
1779978759.813753,0.3,0.0,90.40234375
1779978760.8144124,1.3,0.0,90.40234375
1779978761.8148918,0.5,0.0,90.40234375
1779978762.815223,2.3,0.0,90.40234375
1779978763.815751,0.4,0.0,90.40234375
1779978764.8162365,1.0,0.0,90.40234375
1779978765.8170772,0.7,0.0,90.40234375
1779978766.8181078,1.2,0.0,90.40234375
1779978767.819059,0.9,0.0,90.40234375
1779978768.8203893,0.8,0.0,90.40234375
1779978769.8213763,0.5,0.0,90.40234375
1779978770.8218553,0.9,0.0,90.40234375
1779978771.8227186,0.7,0.0,90.40234375
1779978772.8237019,0.8,0.0,90.40234375
1779978773.8249254,0.7,0.0,90.40234375
1779978774.8255763,0.7,1.0,90.40234375
1779978775.825996,2.2,1.0,90.40234375
1779978776.8267164,1.0,0.0,90.40234375
1779978777.8273993,0.7,0.0,90.40234375
1779978778.8283472,1.1,0.0,90.40234375
1779978779.8290155,0.8,0.0,90.40234375
1779978780.8298342,1.1,0.0,90.40234375
1779978781.830689,0.6,0.0,90.40234375
1779978782.8326814,0.9,0.0,90.40234375
1779978783.8339143,1.5,0.0,90.40234375
1779978784.8351386,1.0,0.0,90.40234375
1779978785.7771773,0.8,0.0,90.40234375
1779978786.777902,0.4,0.0,90.40234375
1779978787.7783477,0.7,0.0,90.40234375
1779978788.7789097,0.4,0.0,90.40234375
1779978789.7795408,1.6,0.0,90.40234375
1779978790.7804842,0.2,0.0,90.40234375
1779978791.7812157,1.3,0.0,90.40234375
1779978792.7816045,0.8,2.0,90.40234375
1779978793.7820837,2.1,0.0,90.40234375
1779978794.7834811,1.3,0.0,90.40234375
1779978795.7842164,1.1,0.0,90.40234375
1779978796.7860625,0.6,0.0,90.40234375
1779978797.7872293,0.7,0.0,90.40234375
1779978798.7880223,1.2,0.0,90.40234375
1779978799.7889328,1.7,0.0,90.40234375
1779978800.790376,1.2,0.0,90.40234375
1779978801.7916713,0.8,0.0,90.40234375
1779978802.7934072,0.7,0.0,90.40234375
1779978803.7941468,0.8,0.0,90.40234375
1779978804.7949295,1.1,0.0,90.40234375
1779978805.7959614,0.8,0.0,90.40234375
1779978806.7967272,0.7,0.0,90.40234375
1779978807.797352,0.6,0.0,90.40234375
1779978808.7980244,0.8,0.0,90.40234375
1779978809.7990015,1.9,0.0,90.40234375
1779978810.8004265,1.1,0.0,90.40234375
1779978811.8015265,0.8,0.0,90.40234375
1779978812.8026648,0.7,0.0,90.40234375
1779978813.8036761,1.1,0.0,90.40234375
1779978814.804658,0.6,0.0,90.40234375
1779978815.7455533,0.6,0.0,90.40234375
1779978816.7465057,2.5,0.0,90.40234375
1779978817.747289,0.3,1.0,90.40234375
1779978818.747871,1.3,1.0,90.40234375
1779978819.7486231,0.7,0.0,90.40234375
1779978820.749559,1.9,0.0,90.40234375
1779978821.750459,0.1,0.0,90.40234375
1779978822.7518866,2.6,0.0,90.40234375
1779978823.7528539,0.2,0.0,90.40234375
1779978824.753379,1.7,0.0,90.40234375
1779978825.7538433,1.0,0.0,90.40234375
1779978826.7545354,1.5,0.0,90.40234375
1779978827.7552278,0.7,0.0,90.40234375
1779978828.7565658,0.8,1.0,90.40234375
1779978829.7577987,0.8,0.0,90.40234375
1779978830.7585738,1.4,0.0,90.40234375
1779978831.7593055,1.3,0.0,90.40234375
1779978832.7604423,1.0,0.0,90.40234375
1779978833.7612438,0.7,0.0,90.40234375
1779978834.7628226,0.7,0.0,90.40234375
1779978835.763933,1.2,1.0,90.40234375
1779978836.7647173,1.4,0.0,90.40234375
1779978837.7666285,0.9,0.0,90.40234375
1779978838.7675622,1.0,0.0,90.40234375
1779978839.7713003,0.7,0.0,90.40234375
1779978840.7721026,0.9,0.0,90.40234375
1779978841.7728956,1.3,1.0,90.40234375
1779978842.7736313,0.7,0.0,90.40234375
1779978843.7758539,1.1,0.0,90.40234375
1779978844.7769933,0.1,0.0,90.40234375
1779978845.7162497,1.8,0.0,90.40234375
1779978846.7171543,0.6,0.0,90.40234375
1779978847.717694,1.3,0.0,90.40234375
1779978848.7182624,0.1,0.0,90.40234375
1779978849.7193966,1.9,0.0,90.40234375
1779978850.7197807,0.3,0.0,90.40234375
1779978851.720092,2.8,0.0,90.40234375
1779978852.7205262,1.1,0.0,90.40234375
1779978853.7211132,3.1,0.0,90.40234375
1779978854.7219942,0.4,0.0,90.40234375
1779978855.723116,1.2,0.0,90.40234375
1779978856.7249682,2.0,0.0,90.40234375
1779978857.7264576,0.8,0.0,90.40234375
1779978858.7274947,1.6,0.0,90.40234375
1779978859.728129,2.7,1.0,90.40234375
1779978860.7291403,1.3,0.0,90.40234375
1779978861.7306707,1.1,0.0,90.40234375
1779978862.732041,1.1,0.0,90.40234375
1779978863.73312,1.2,0.0,90.40234375
1779978864.7343197,1.2,0.0,90.40234375
1779978865.7349207,1.6,1.0,90.40234375
1779978866.735723,1.2,0.0,90.40234375
1779978867.7365208,1.0,0.0,90.40234375
1779978868.7373216,2.3,0.0,90.40234375
1779978869.7379348,0.3,1.0,90.40234375
1779978870.739017,3.0,0.0,90.40234375
1779978871.7400692,0.2,0.0,90.40234375
1779978872.741349,1.3,0.0,90.40234375
1779978873.7432961,0.7,0.0,90.40234375
1779978874.7444065,1.0,0.0,90.40234375
1779978875.6856372,0.7,0.0,90.40234375
1779978876.6870275,1.3,1.0,90.40234375
1779978877.6878653,0.2,0.0,90.40234375
1779978878.6886628,1.6,0.0,90.40234375
1779978879.689129,0.2,0.0,90.40234375
1779978880.6896808,1.3,0.0,90.40234375
1779978881.690191,0.8,0.0,90.40234375
1779978882.690929,1.9,0.0,90.40234375
