timestamp,cpu_percent,process_cpu_percent,memory_rss_mb
1779978373.806331,0.0,0.0,66.3984375
1779978374.8066635,1.8,3.0,72.7734375
1779978375.8075638,1.0,0.0,72.7734375
1779978376.8081498,3.9,1.0,72.7734375
1779978377.8087869,0.4,0.0,72.7734375
1779978378.8097222,1.0,0.0,72.7734375
1779978379.8109977,1.0,0.0,72.7734375
1779978380.8116703,1.0,0.0,72.7734375
1779978381.812491,0.3,0.0,72.7734375
1779978382.812998,0.5,0.0,72.7734375
1779978383.814652,0.9,0.0,72.7734375
1779978384.8174055,0.0,0.0,72.7734375
1779978385.8198838,1.2,0.0,72.7734375
1779978386.8207352,1.7,0.0,72.7734375
1779978387.8247678,3.9,1.0,72.7734375
1779978388.8257957,0.3,0.0,72.7734375
1779978389.8288863,1.2,4.0,74.7734375
1779978390.8297446,5.8,3.0,80.3984375
1779978391.8340971,2.3,0.0,80.3984375
1779978392.834526,1.3,0.0,80.3984375
1779978393.8350253,6.0,0.0,80.3984375
1779978394.8357632,2.7,0.0,80.3984375
1779978395.8363268,2.4,0.0,81.1484375
1779978396.7772684,0.6,2.0,85.3984375
1779978397.7783127,1.7,2.0,85.5234375
1779978398.7789161,0.3,0.0,85.5234375
1779978399.7796547,0.8,0.0,85.5234375
1779978400.780112,1.0,0.0,85.5234375
1779978401.780461,1.1,1.0,85.5234375
1779978402.7810442,1.8,0.0,85.5234375
1779978403.7816136,1.2,0.0,85.5234375
1779978404.7823036,0.3,0.0,85.5234375
1779978405.7831898,2.1,0.0,85.5234375
1779978406.7844687,0.5,0.0,85.5234375
1779978407.7849455,1.8,0.0,85.5234375
1779978408.785442,0.3,0.0,85.5234375
1779978409.786023,0.7,0.0,85.5234375
1779978410.7869418,0.6,0.0,85.5234375
1779978411.7875829,0.5,0.0,85.5234375
1779978412.7886412,7.9,1.0,85.5234375
1779978413.7893429,0.4,0.0,85.5234375
1779978414.7905087,1.0,0.0,85.5234375
1779978415.7925124,0.7,0.0,85.5234375
1779978416.7956135,1.1,0.0,85.5234375
1779978417.7996151,0.2,0.0,85.5234375
1779978418.8008692,1.2,0.0,85.5234375
1779978419.8035579,0.2,0.0,85.5234375
1779978420.8048954,1.1,0.0,85.5234375
1779978421.808792,0.9,0.0,85.5234375
1779978422.8108103,0.9,0.0,85.5234375
1779978423.8149166,0.2,0.0,85.5234375
1779978424.8157806,1.0,1.0,85.6484375
1779978425.8192072,2.1,0.0,85.6484375
1779978426.759805,2.7,0.0,85.6484375
1779978427.7605643,0.2,0.0,85.6484375
1779978428.7612398,0.8,1.0,85.6484375
1779978429.761842,0.2,0.0,85.6484375
1779978430.762298,0.9,0.0,85.6484375
1779978431.7627819,0.4,0.0,85.6484375
1779978432.7633133,1.3,0.0,85.6484375
1779978433.7638328,0.2,0.0,85.6484375
1779978434.7641423,0.7,0.0,85.6484375
1779978435.7650928,0.7,0.0,85.6484375
1779978436.7669082,0.2,0.0,85.6484375
1779978437.7688498,1.0,0.0,85.6484375
1779978438.7704196,0.8,0.0,85.6484375
1779978439.772319,1.6,0.0,85.6484375
1779978440.7727556,0.2,0.0,85.6484375
1779978441.7742064,1.5,1.0,85.6484375
1779978442.7749965,0.5,0.0,85.6484375
1779978443.7780771,2.3,0.0,85.6484375
1779978444.7788432,0.4,0.0,85.6484375
1779978445.7799182,1.2,1.0,85.6484375
1779978446.7806866,0.3,0.0,85.6484375
1779978447.782504,1.4,0.0,85.6484375
1779978448.7835336,1.4,0.0,85.6484375
1779978449.7868915,1.9,2.0,85.6484375
1779978450.7891536,0.1,0.0,85.6484375
1779978451.7945926,1.2,0.0,85.6484375
1779978452.7960594,0.3,0.0,85.6484375
1779978453.7981205,3.2,0.0,85.6484375
1779978454.801426,0.2,0.0,85.6484375
1779978455.802387,10.9,0.0,85.6484375
1779978456.745791,18.3,1.0,85.6484375
1779978457.746285,11.9,0.0,85.6484375
1779978458.7468014,18.5,0.0,85.6484375
1779978459.7475781,22.8,0.0,85.6484375
1779978460.7481573,25.3,0.0,85.6484375
1779978461.7486331,24.8,0.0,85.6484375
1779978462.749178,24.0,0.0,85.6484375
1779978463.7497137,24.9,0.0,85.6484375
1779978464.7503388,23.7,0.0,85.6484375
1779978465.7509274,15.8,1.0,85.6484375
1779978466.75182,16.3,0.0,85.6484375
1779978467.753382,2.5,0.0,85.6484375
1779978468.7544959,1.8,0.0,85.6484375
1779978469.755041,0.3,0.0,85.6484375
1779978470.756274,1.1,0.0,85.6484375
1779978471.7572832,0.6,0.0,85.6484375
1779978472.7589343,1.3,0.0,85.6484375
1779978473.7616258,4.2,0.0,85.6484375
1779978474.7624369,1.3,0.0,85.6484375
1779978475.7636344,1.0,0.0,85.6484375
1779978476.7643642,0.8,0.0,85.6484375
1779978477.7667966,1.9,0.0,85.6484375
1779978478.7685263,2.7,0.0,85.6484375
1779978479.7690492,0.9,0.0,85.6484375
1779978480.7702558,13.4,1.0,85.6484375
1779978481.7708802,21.9,3.0,85.6484375
1779978482.7727647,21.9,0.0,85.6484375
1779978483.7733283,20.1,1.0,85.6484375
1779978484.7740417,23.8,0.0,85.6484375
1779978485.7747753,27.1,0.0,85.6484375
1779978486.7153754,23.2,0.0,85.6484375
1779978487.7161758,30.8,0.0,85.6484375
1779978488.7167742,12.2,0.0,85.6484375
